_id,Station ID,Station Name,Direction,MTO Region,Highway or Road,Location Description,Day of Week Number,Hour,Single,Multi,Auto,total_trucks,Total vehicles
1,ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,0,7,31,302,38,340
2,ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,1,9,22,170,31,201
3,ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,2,0,23,124,23,147
4,ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,3,9,31,85,40,125
5,ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,4,9,27,114,36,150
6,ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,5,5,22,254,27,281
7,ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,6,18,34,485,52,537
8,ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,7,11,33,465,44,509
9,ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,8,16,60,701,76,777
10,ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,9,26,72,1199,98,1297
11,ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,10,39,66,1741,105,1846
12,ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,11,40,87,2062,127,2189
13,ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,12,59,108,2295,167,2462
14,ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,13,55,94,2597,149,2746
15,ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,14,83,105,2848,188,3036
16,ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,15,70,123,3013,193,3206
17,ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,16,95,131,3325,226,3551
18,ON0016,Bowmanville (West/Ouest:  Kingston - Toronto),West,Central,Hwy 401,"On Highway 401, between Bennett Rd (Exit 435) & Liberty St (Exit 432) about 1 km west of Bennet Rd (Km Marker 434)",1,17,85,132,3055,217,3272
