_id,Station ID,Station Name,Direction,MTO Region,Highway or Road,Location Description,Day of Week Number,Hour,Single,Multi,Auto,total_trucks,Total vehicles
6356,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",6,19,9,9,352,18,370
6357,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",6,20,8,21,198,29,227
6358,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",6,21,3,5,126,8,134
6359,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",6,22,2,8,67,10,77
6360,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",6,23,2,6,51,7,58
6361,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,0,2,2,31,4,35
6362,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,1,2,4,16,6,22
6363,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,2,1,5,7,6,13
6364,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,3,0,2,2,3,5
6365,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,4,0,2,6,2,8
6366,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,5,2,2,11,5,16
6367,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,6,2,3,47,5,52
6368,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,7,6,4,99,9,108
6369,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,8,7,3,159,10,169
6370,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,9,12,5,251,17,268
6371,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,10,6,4,283,10,293
6372,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,11,5,2,328,7,335
6373,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,12,6,2,314,8,322
6374,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,13,4,6,282,10,292
6375,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,14,7,4,217,11,228
6376,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,15,5,2,206,7,213
6377,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,16,0,1,177,1,178
6378,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,17,6,4,140,9,149
6379,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,18,4,2,122,6,128
